code,name,cate_code,cate_name
91580,상신이디피,32802,일차전지 및 축전지 제조업
263810,상신전자,32602,전자부품 제조업
89980,상아프론테크,32202,플라스틱제품 제조업
42940,상지카일룸,64203,전기 및 통신 공사업
42600,새로닉스,32602,전자부품 제조업
75180,새론오토모티브,33003,자동차 신품 부품 제조업
263540,샘코,33103,"항공기,우주선 및 부품 제조업"
7540,샘표,116409,기타 금융업
248170,샘표식품,31007,기타 식품 제조업
38070,서린바이오,74607,기타 전문 도매업
6730,서부T&D,74608,상품 종합 도매업
79650,서산,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
100660,서암기계공업,32901,일반 목적용 기계 제조업
7860,서연,116409,기타 금융업
200880,서연이화,33003,자동차 신품 부품 제조업
12860,서연전자,33003,자동차 신품 부품 제조업
19770,서연탑메탈,32902,특수 목적용 기계 제조업
17390,서울도시가스,43502,연료용 가스 제조 및 배관공급업
43710,서울리거,137103,광고업
46890,서울반도체,32601,반도체 제조업
4410,서울식품공업,31007,기타 식품 제조업
63170,서울옥션,74601,상품 중개업
27040,서울전자통신,33309,그외 기타 제품 제조업
18680,서울제약,32102,의약품 제조업
21050,서원,32403,금속 주조업
93920,서원인텍,32604,통신 및 방송 장비 제조업
189860,서전기전,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
178320,서진시스템,32604,통신 및 방송 장비 제조업
122690,서진오토모티브,33003,자동차 신품 부품 제조업
140070,서플러스글로벌,74605,기계장비 및 관련 물품 도매업
11370,서한,64101,건물 건설업
65710,서호전기,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
8490,서흥,32004,기타 화학제품 제조업
35890,서희건설,64101,건물 건설업
3100,선광,85209,기타 운송관련 서비스업
123420,선데이토즈,105802,소프트웨어 개발 및 공급업
7610,선도전기,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67370,선바이오,32102,의약품 제조업
171090,선익시스템,32902,특수 목적용 기계 제조업
136490,선진,31008,동물용 사료 및 조제식품 제조업
2820,선창산업,31602,나무제품 제조업
14620,성광벤드,32401,1차 철강 제조업
37350,성도이엔지,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
14910,성문전자,32602,전자부품 제조업
3080,성보화학,32003,"비료, 농약 및 살균, 살충제 제조업"
4980,성신양회,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
11300,성안,31302,직물직조 및 직물제품 제조업
81580,성우전자,32604,통신 및 방송 장비 제조업
45300,성우테크론,32602,전자부품 제조업
